"Image Number"	"ROI"	"Image Layer"	"Total Radiant Efficiency [p/s] / [uW/cm2]"	"Avg Radiant Efficiency [p/s/cm2/sr] / [uW/cm2]"	"Stdev Radiant Efficiency"	"Min Radiant Efficiency"	"Max Radiant Efficiency"	"Area [cm2]"	"EM Filter"	"Analysis Comment"	"Analysis User ID"	"Angle"	"Animal Model"	"Animal Number"	"Animal Strain"	"Area [ccd Pixels]"	"Avg Counts"	"Avg Dark Charge Counts"	"Avg Efficiency"	"Avg Fluorescent Bkg Counts"	"Avg Radiance [p/s/cm2/sr]"	"Binning"	"Bkg ROI"	"Cell Line"	"Comment"	"Comment1"	"Comment2"	"Cosmic Corrected"	"Dark Charge Subtracted"	"Date and Time"	"Display"	"EM Gain"	"EX Filter"	"Experiment"	"Exposure"	"f-Stop"	"Field of View"	"File Name"	"Flat Field Corrected"	"Fluorescence Level"	"Fluorescent Bkg Subtracted"	"Frame Time"	"Group"	"Height [cm]"	"Height [pixels]"	"IACUC Number"	"Image angle"	"Label"	"Label Set"	"Luc Injection Time"	"Max Counts"	"Max Dark Charge Counts"	"Max Efficiency"	"Max Fluorescent Bkg Counts"	"Max Radiance"	"Min Counts"	"Min Dark Charge Counts"	"Min Efficiency"	"Min Fluorescent Bkg Counts"	"Min Radiance"	"Path"	"Reporter"	"ROI Label"	"ROI Pixels"	"Sequence ID"	"Series"	"Sex"	"Shape"	"Stdev Counts"	"Stdev Dark Charge Counts"	"Stdev Efficiency"	"Stdev Fluorescent Bkg Counts"	"Stdev Radiance"	"Subject"	"Subject ID"	"Subject Label"	"Threshold %"	"Time Point"	"Total Counts"	"Total Dark Charge Counts"	"Total Efficiency [cm²]"	"Total Fluorescent Bkg Counts"	"Total Flux [p/s]"	"Treatment"	"User"	"User ID"	"View"	"Width [cm]"	"Width [pixels]"	"Xc [cm]"	"Xc [pixels]"	"Yc [cm]"	"Yc [pixels]"
FRD20171219115713_001	ROI 1	Overlay	1.590e+08	2.788e+06	2.435e+06	-7.401e+04	2.248e+07	4.537e+00	620			-0.0000				3.840e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			3b		true	true	12/19/2017 11:57:38			535	23	7.00	2.00	6.60	N/A	true	High	false		SimmonsLab	3.472e-01	1.010e+02		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	6000	FRD20171219115713_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	1.776e+06	N/A	1.776e+06	N/A		FRD	FRD		6.325e-01	1.840e+02	3.095e+00	9.004e+02	3.019e+00	8.782e+02
FRD20171219115713_002	ROI 1	Overlay	2.932e+08	5.142e+06	4.737e+06	-6.701e+05	3.997e+07	4.537e+00	540			-0.0000				3.840e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			3b		true	true	12/19/2017 11:58:03			500	23	7.00	2.00	6.60	N/A	true	High	false		SimmonsLab	3.472e-01	1.010e+02		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	6000	FRD20171219115713_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	2.672e+06	N/A	2.672e+06	N/A		FRD	FRD		6.325e-01	1.840e+02	3.095e+00	9.004e+02	3.019e+00	8.782e+02
FRD20171219120224_001	ROI 1	Overlay	1.145e+08	2.196e+06	2.488e+06	-9.408e+04	1.951e+07	4.149e+00	620			-0.0000				3.511e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			4f		true	true	12/19/2017 12:02:50			535	23	5.00	2.00	6.60	N/A	true	High	false		SimmonsLab	2.956e-01	8.600e+01		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	5486	FRD20171219120224_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	9.138e+05	N/A	9.138e+05	N/A		FRD	FRD		6.497e-01	1.890e+02	3.323e+00	9.667e+02	3.674e+00	1.069e+03
FRD20171219120224_002	ROI 1	Overlay	2.237e+08	4.291e+06	6.179e+06	-1.037e+06	8.476e+07	4.149e+00	540			-0.0000				3.511e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			4f		true	true	12/19/2017 12:03:22			500	23	3.00	2.00	6.60	N/A	true	High	false		SimmonsLab	2.956e-01	8.600e+01		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	5486	FRD20171219120224_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	8.735e+05	N/A	8.735e+05	N/A		FRD	FRD		6.497e-01	1.890e+02	3.323e+00	9.667e+02	3.674e+00	1.069e+03
FRD20171219120625_001	ROI 1	Overlay	2.272e+08	4.397e+06	3.485e+06	-8.984e+04	4.970e+07	4.112e+00	620			-0.0000				3.480e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			4b		true	true	12/19/2017 12:06:51			535	23	6.00	2.00	6.60	N/A	true	High	false		SimmonsLab	2.956e-01	8.600e+01		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	5438	FRD20171219120625_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	2.176e+06	N/A	2.176e+06	N/A		FRD	FRD		6.428e-01	1.870e+02	3.630e+00	1.056e+03	3.605e+00	1.049e+03
FRD20171219120625_002	ROI 1	Overlay	4.272e+08	8.267e+06	7.738e+06	-2.888e+05	9.546e+07	4.112e+00	540			-0.0000				3.480e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			4b		true	true	12/19/2017 12:07:26			500	23	6.00	2.00	6.60	N/A	true	High	false		SimmonsLab	2.956e-01	8.600e+01		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	5438	FRD20171219120625_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	3.337e+06	N/A	3.337e+06	N/A		FRD	FRD		6.428e-01	1.870e+02	3.630e+00	1.056e+03	3.605e+00	1.049e+03
FRD20171219121138_001	ROI 1	Overlay	6.390e+07	1.112e+06	1.490e+06	-1.574e+05	2.202e+07	4.575e+00	620			-0.0000				3.871e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			5f		true	true	12/19/2017 12:12:06			535	23	8.00	2.00	6.60	N/A	true	High	false		SimmonsLab	3.266e-01	9.500e+01		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	6049	FRD20171219121138_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	8.160e+05	N/A	8.160e+05	N/A		FRD	FRD		6.222e-01	1.810e+02	2.757e+00	8.020e+02	3.470e+00	1.010e+03
FRD20171219121138_002	ROI 1	Overlay	1.486e+08	2.585e+06	4.171e+06	-1.104e+06	7.736e+07	4.575e+00	540			-0.0000				3.871e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			5f		true	true	12/19/2017 12:12:31			500	23	3.00	2.00	6.60	N/A	true	High	false		SimmonsLab	3.266e-01	9.500e+01		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	6049	FRD20171219121138_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	5.803e+05	N/A	5.803e+05	N/A		FRD	FRD		6.222e-01	1.810e+02	2.757e+00	8.020e+02	3.470e+00	1.010e+03
FRD20171219121556_001	ROI 1	Overlay	1.436e+08	2.496e+06	2.659e+06	1.320e+04	2.737e+07	4.580e+00	620			-0.0000				3.876e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			5b		true	true	12/19/2017 12:16:23			535	23	9.00	2.00	6.60	N/A	true	High	false		SimmonsLab	3.369e-01	9.800e+01		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	6056	FRD20171219121556_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	2.064e+06	N/A	2.064e+06	N/A		FRD	FRD		6.634e-01	1.930e+02	3.423e+00	9.958e+02	3.397e+00	9.882e+02
FRD20171219121556_002	ROI 1	Overlay	3.223e+08	5.600e+06	6.836e+06	-5.033e+05	6.720e+07	4.580e+00	540			-0.0000				3.876e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			5b		true	true	12/19/2017 12:17:03			500	23	8.00	2.00	6.60	N/A	true	High	false		SimmonsLab	3.369e-01	9.800e+01		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	6056	FRD20171219121556_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	3.356e+06	N/A	3.356e+06	N/A		FRD	FRD		6.634e-01	1.930e+02	3.423e+00	9.958e+02	3.397e+00	9.882e+02
FRD20171219122130_001	ROI 1	Overlay	1.532e+08	3.293e+06	4.101e+06	-1.022e+05	3.541e+07	3.703e+00	620			-0.0000				3.134e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			6f		true	true	12/19/2017 12:21:57			535	23	7.00	2.00	6.60	N/A	true	High	false		SimmonsLab	2.922e-01	8.500e+01		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	4897	FRD20171219122130_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	1.712e+06	N/A	1.712e+06	N/A		FRD	FRD		6.084e-01	1.770e+02	3.591e+00	1.045e+03	3.825e+00	1.113e+03
FRD20171219122130_002	ROI 1	Overlay	7.279e+08	1.564e+07	2.383e+07	-7.648e+05	2.420e+08	3.703e+00	540			-0.0000				3.134e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			6f		true	true	12/19/2017 12:22:31			500	23	3.00	2.00	6.60	N/A	true	High	false		SimmonsLab	2.922e-01	8.500e+01		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	4897	FRD20171219122130_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	2.842e+06	N/A	2.842e+06	N/A		FRD	FRD		6.084e-01	1.770e+02	3.591e+00	1.045e+03	3.825e+00	1.113e+03
FRD20171219122522_001	ROI 1	Overlay	3.425e+08	7.498e+06	1.424e+07	-8.810e+05	1.346e+08	3.635e+00	620			-0.0000				3.076e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			6b		true	true	12/19/2017 12:25:58			535	23	2.00	2.00	6.60	N/A	true	High	false		SimmonsLab	3.059e-01	8.900e+01		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	4806	FRD20171219122522_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	1.093e+06	N/A	1.093e+06	N/A		FRD	FRD		5.809e-01	1.690e+02	3.192e+00	9.286e+02	3.559e+00	1.035e+03
FRD20171219122522_002	ROI 1	Overlay	1.505e+09	3.295e+07	6.791e+07	-3.289e+06	9.176e+08	3.635e+00	540			-0.0000				3.076e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			6b		true	true	12/19/2017 12:26:44			500	23	0.50	2.00	6.60	N/A	true	High	false		SimmonsLab	3.059e-01	8.900e+01		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	4806	FRD20171219122522_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	9.795e+05	N/A	9.795e+05	N/A		FRD	FRD		5.809e-01	1.690e+02	3.192e+00	9.286e+02	3.559e+00	1.035e+03
FRD20171219123123_001	ROI 1	Overlay	9.270e+07	1.630e+06	3.705e+06	-2.663e+07	3.625e+07	4.525e+00	620			-0.0000				3.829e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			7f		true	true	12/19/2017 12:31:52			535	23	5.00	2.00	6.60	N/A	true	High	false		SimmonsLab	3.472e-01	1.010e+02		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	5983	FRD20171219123123_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	7.399e+05	N/A	7.399e+05	N/A		FRD	FRD		6.497e-01	1.890e+02	3.245e+00	9.440e+02	3.410e+00	9.920e+02
FRD20171219123123_002	ROI 1	Overlay	3.038e+08	5.342e+06	1.401e+07	-9.487e+07	1.745e+08	4.525e+00	540			-0.0000				3.829e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			7f		true	true	12/19/2017 12:33:13			500	23	3.00	2.00	6.60	N/A	true	High	false		SimmonsLab	3.472e-01	1.010e+02		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	5983	FRD20171219123123_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	1.186e+06	N/A	1.186e+06	N/A		FRD	FRD		6.497e-01	1.890e+02	3.245e+00	9.440e+02	3.410e+00	9.920e+02
FRD20171219123621_001	ROI 1	Overlay	4.141e+08	7.276e+06	1.436e+07	-1.323e+05	1.427e+08	4.529e+00	620			-0.0000				3.833e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			7b		true	true	12/19/2017 12:36:58			535	23	3.00	2.00	6.60	N/A	true	High	false		SimmonsLab	3.369e-01	9.800e+01		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	5989	FRD20171219123621_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	1.983e+06	N/A	1.983e+06	N/A		FRD	FRD		6.359e-01	1.850e+02	3.203e+00	9.318e+02	3.410e+00	9.920e+02
FRD20171219123621_002	ROI 1	Overlay	1.251e+09	2.197e+07	4.492e+07	-1.117e+06	4.006e+08	4.529e+00	540			-0.0000				3.833e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			7b		true	true	12/19/2017 12:37:50			500	23	2.00	2.00	6.60	N/A	true	High	false		SimmonsLab	3.369e-01	9.800e+01		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	5989	FRD20171219123621_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	3.256e+06	N/A	3.256e+06	N/A		FRD	FRD		6.359e-01	1.850e+02	3.203e+00	9.318e+02	3.410e+00	9.920e+02
FRD20171219124149_001	ROI 1	Overlay	4.057e+07	9.373e+05	1.082e+06	-1.215e+05	6.421e+06	3.445e+00	620			-0.0000				2.915e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			8f		true	true	12/19/2017 12:42:38			535	23	10.00	2.00	6.60	N/A	true	High	false		SimmonsLab	2.853e-01	8.300e+01		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	4555	FRD20171219124149_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	6.476e+05	N/A	6.476e+05	N/A		FRD	FRD		5.809e-01	1.690e+02	3.238e+00	9.418e+02	3.313e+00	9.636e+02
FRD20171219124149_002	ROI 1	Overlay	7.772e+07	1.795e+06	2.598e+06	-9.213e+05	2.201e+07	3.445e+00	540			-0.0000				2.915e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			8f		true	true	12/19/2017 12:43:36			500	23	7.00	2.00	6.60	N/A	true	High	false		SimmonsLab	2.853e-01	8.300e+01		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	4555	FRD20171219124149_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	7.081e+05	N/A	7.081e+05	N/A		FRD	FRD		5.809e-01	1.690e+02	3.238e+00	9.418e+02	3.313e+00	9.636e+02
FRD20171219124629_001	ROI 1	Overlay	5.975e+07	1.432e+06	8.615e+05	4.194e+05	9.656e+06	3.321e+00	620			-0.0000				2.810e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			8b		true	true	12/19/2017 12:46:52			535	23	9.00	2.00	6.60	N/A	true	High	false		SimmonsLab	2.750e-01	8.000e+01		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	4391	FRD20171219124629_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	8.584e+05	N/A	8.584e+05	N/A		FRD	FRD		5.672e-01	1.650e+02	3.121e+00	9.080e+02	3.345e+00	9.731e+02
FRD20171219124629_002	ROI 1	Overlay	6.883e+07	1.649e+06	1.824e+06	-5.308e+05	1.808e+07	3.321e+00	540			-0.0000				2.810e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			8b		true	true	12/19/2017 12:47:31			500	23	9.00	2.00	6.60	N/A	true	High	false		SimmonsLab	2.750e-01	8.000e+01		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	4391	FRD20171219124629_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	8.063e+05	N/A	8.063e+05	N/A		FRD	FRD		5.672e-01	1.650e+02	3.121e+00	9.080e+02	3.345e+00	9.731e+02
FRD20171219125245_001	ROI 1	Overlay	3.948e+07	7.661e+05	1.200e+06	-2.614e+05	6.530e+06	4.101e+00	620			-0.0000				3.471e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			9f		true	true	12/19/2017 12:53:13			535	23	4.00	2.00	6.60	N/A	true	High	false		SimmonsLab	3.059e-01	8.900e+01		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	5423	FRD20171219125245_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	2.521e+05	N/A	2.521e+05	N/A		FRD	FRD		5.947e-01	1.730e+02	3.475e+00	1.011e+03	3.019e+00	8.783e+02
